,Bayview,Bernal Heights,Castro-Upper Market,Chinatown,Crocker Amazon,Diamond Heights,Downtown,Excelsior,Financial District,Glen Park,Haight-Ashbury,Inner Richmond,Inner Sunset,Lakeshore,Marina,Mission,Nob Hill,Noe Valley,North Beach,Ocean View,Outer Mission,Outer Richmond,Outer Sunset,Pacific Heights,Parkside,Potrero Hill,Presidio Heights,Russian Hill,Seacliff,South Of Market,Twin Peaks,Visitacion Valley,West Of Twin Peaks,Western Addition
area_km,12.859,2.992,2.276,0.356,1.196,0.894,1.67,4.381,1.811,0.965,2.001,3.573,3.491,9.392,2.801,4.38,0.955,2.305,1.762,3.418,3.517,3.65,6.364,1.787,4.027,3.725,1.259,1.281,1.871,5.68,1.756,3.532,4.869,3.903
avg_neighbor_degree_avg,2.908,2.768,2.846,1.976,2.865,2.483,2.022,3.271,2.134,2.669,3.072,3.169,2.95,2.406,2.961,3.044,2.616,3.214,2.638,3.012,2.783,3.253,3.531,3.192,3.277,3.02,2.942,3.055,2.808,2.429,2.461,2.909,2.812,2.68
avg_weighted_neighbor_degree_avg,0.04,0.049,0.041,0.044,0.044,0.041,0.036,0.038,0.036,0.045,0.033,0.038,0.038,0.047,0.047,0.038,0.039,0.043,0.049,0.036,0.043,0.034,0.032,0.036,0.034,0.034,0.037,0.05,0.042,0.044,0.041,0.042,0.046,0.038
betweenness_centrality_avg,0.021,0.029,0.035,0.063,0.064,0.106,0.041,0.036,0.039,0.051,0.051,0.044,0.041,0.026,0.034,0.025,0.049,0.04,0.047,0.038,0.029,0.045,0.039,0.049,0.059,0.033,0.054,0.042,0.079,0.023,0.067,0.037,0.027,0.029
center,[2932970389],[65343556],[65296327],[65307376],[65343941],[65297575],[65362154],[65313337],[1723738831],[65309997],[65298333],[258910910],[370820599],[4062434371],[2980617845],[2381798128],[65336976],[65288872],[65296804],[65335444],[65334887],[65308549],[65288315],[65337437],[65320139],[65324632],[65295740],[65336088],[65354844],[65281916],[258926829],[65325292],[65327086],[65365176]
circuity_avg,1.053,1.028,1.023,1.0,1.023,1.187,1.005,1.019,1.028,1.032,1.013,1.01,1.065,1.073,1.018,1.007,1.0,1.008,1.041,1.03,1.023,1.005,1.003,1.004,1.006,1.02,1.019,1.016,1.05,1.048,1.161,1.044,1.064,1.008
clustering_coefficient_avg,0.043,0.052,0.045,0.017,0.061,0.098,0.039,0.025,0.054,0.014,0.018,0.018,0.052,0.071,0.067,0.021,0.006,0.023,0.037,0.039,0.047,0.02,0.025,0.012,0.03,0.03,0.065,0.051,0.021,0.048,0.068,0.033,0.071,0.034
clustering_coefficient_weighted_avg,0.002,0.004,0.01,0.003,0.012,0.027,0.004,0.003,0.008,0.001,0.002,0.002,0.008,0.004,0.005,0.002,0.0,0.005,0.007,0.006,0.004,0.002,0.005,0.004,0.007,0.002,0.003,0.013,0.008,0.004,0.003,0.004,0.008,0.006
count_intersections,709.0,389.0,251.0,89.0,113.0,24.0,220.0,332.0,217.0,114.0,159.0,275.0,241.0,633.0,313.0,452.0,113.0,192.0,176.0,274.0,424.0,251.0,354.0,138.0,240.0,249.0,103.0,149.0,49.0,590.0,155.0,248.0,551.0,435.0
degree_centrality_avg,0.006,0.011,0.019,0.033,0.038,0.155,0.016,0.017,0.016,0.04,0.035,0.02,0.019,0.007,0.017,0.012,0.033,0.028,0.02,0.017,0.011,0.024,0.02,0.042,0.025,0.019,0.049,0.028,0.073,0.006,0.021,0.017,0.009,0.011
diameter,6822.81,3970.281,2678.974,1665.469,2351.88,866.735,2930.564,4684.844,2309.16,2479.433,3086.616,4028.766,4739.321,7901.801,3647.751,4220.162,2426.711,3028.185,2726.698,4177.78,4285.607,4445.606,4699.386,2815.907,4418.187,4942.825,2093.976,1966.934,1328.857,5064.552,6133.576,3349.958,5428.823,3887.66
edge_density_km,19427.596,32388.738,31576.144,32764.478,25333.316,7857.034,22958.299,29708.768,21607.791,31232.088,26243.947,27600.989,26655.058,16217.475,30094.195,32716.198,29609.181,30418.619,24242.631,29567.287,30878.502,27699.068,26650.242,28287.937,25017.369,25437.857,27379.352,31180.224,7378.878,26653.085,28979.929,22633.235,33158.134,28166.537
edge_length_avg,111.723,85.073,98.578,59.176,93.254,111.47,80.735,115.172,77.816,97.533,111.518,112.59,124.399,96.581,89.19,104.066,85.387,110.581,79.864,118.073,88.434,122.688,137.214,112.847,127.536,119.475,111.905,81.025,85.745,99.019,116.69,99.308,102.433,94.679
edge_length_total,249812.178,96897.637,71863.04,11657.72,30307.7,7022.588,38349.263,130143.841,39141.647,30137.707,52524.899,98629.013,93050.634,152308.344,84284.424,143299.188,28263.253,70108.051,42726.98,101070.29,108596.656,101094.821,169596.545,50555.635,100753.329,94743.808,34466.763,39945.205,13804.915,151399.809,50876.701,79942.731,161435.157,109921.851
intersection_density_km,55.138,130.026,110.288,250.138,94.453,26.852,131.706,75.788,119.793,118.14,79.444,76.958,69.036,67.401,111.758,103.195,118.381,83.305,99.86,80.156,120.561,68.772,55.627,77.217,59.593,66.854,81.82,116.306,26.191,103.866,88.29,70.213,113.173,111.465
k_avg,5.243,5.018,5.283,3.582,4.962,4.345,3.862,6.158,4.008,4.944,5.744,5.899,5.381,4.604,5.676,5.762,4.629,5.898,4.632,5.452,5.095,6.29,6.944,6.095,6.245,5.526,5.451,5.245,4.806,4.419,4.275,5.227,5.21,5.092
m,2236.0,1139.0,729.0,197.0,325.0,63.0,475.0,1130.0,503.0,309.0,471.0,876.0,748.0,1577.0,945.0,1377.0,331.0,634.0,535.0,856.0,1228.0,824.0,1236.0,448.0,790.0,793.0,308.0,493.0,161.0,1529.0,436.0,805.0,1576.0,1161.0
n,853.0,454.0,276.0,110.0,131.0,29.0,246.0,367.0,251.0,125.0,164.0,297.0,278.0,685.0,333.0,478.0,143.0,215.0,231.0,314.0,482.0,262.0,356.0,147.0,253.0,287.0,113.0,188.0,67.0,692.0,204.0,308.0,605.0,456.0
node_density_km,66.337,151.753,121.273,309.159,109.499,32.446,147.271,83.777,138.562,129.539,81.942,83.114,79.635,72.937,118.899,109.131,149.81,93.285,131.066,91.858,137.052,71.786,55.942,82.252,62.821,77.057,89.764,146.748,35.812,121.823,116.201,87.2,124.265,116.846
pagerank_max,0.004,0.008,0.008,0.03,0.017,0.107,0.014,0.006,0.02,0.02,0.012,0.006,0.01,0.007,0.008,0.006,0.019,0.01,0.012,0.008,0.005,0.007,0.006,0.011,0.008,0.008,0.02,0.012,0.035,0.005,0.013,0.009,0.005,0.006
pagerank_max_node,65280184,65335166,65312208,65327522,65290112,469718220,65354417,1386857093,-2147483648,65284433,65337066,65289335,65304911,388004321,1088101334,65314348,65295340,65296374,65303244,65305922,65321715,65307165,65310631,65299405,65295120,65332772,65315440,65299389,65354824,65288754,65297340,65305283,65305619,65319004
pagerank_min,0.0,0.0,0.001,0.001,0.002,0.005,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.004,0.0,0.001,0.0,0.0,0.0
pagerank_min_node,259408082,-2147483648,-2147483648,65290756,318783030,1614214693,1723739150,259407001,890045127,65335105,65310412,65376324,-2147483648,65282120,-2147483648,65284015,65354437,65304127,-2147483648,65284828,1711296682,315367847,420508886,258758545,313867819,65283592,1148372833,612767847,65296636,1985091613,65311818,65284149,-2147483648,-2147483648
periphery,[662020555],[4066142106],[581074075],[65316880],[65350943],[1614214705],[4061762662],[65310255],[1377436538],[65299521],[65321830],[1837716852],[258757442],[4070801204],[65283151],[775298151],[65334023],[1472038613],[434685829],[65353235],[65292181],[65287418],[65336440],[3972267745],[307636629],[65281639],[65315754],[612767847],[315357628],[1723738852],[2714986595],[4295112711],[1711315334],[4014218767]
radius,3238.145,1954.814,1384.393,790.503,1179.792,453.874,1440.055,2348.667,1170.525,1272.663,1590.671,2020.285,2364.927,4094.192,1815.186,2086.162,985.272,1486.792,1642.694,1966.039,2168.149,2240.651,2449.103,1426.628,2242.544,2590.124,1099.659,1144.73,718.598,2478.218,2363.859,1946.957,2522.536,1974.813
self_loop_proportion,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.003,0.001,0.004,0.001,0.0,0.0,0.0,0.004,0.004,0.002,0.002,0.0,0.0,0.0,0.005,0.006,0.0,0.0,0.007,0.005,0.002,0.004,0.0
street_density_km,10962.418,18915.237,18119.416,24335.618,14106.236,4785.202,18442.292,15515.016,16431.821,17608.518,14361.927,15147.567,14527.263,10856.687,17220.508,19110.714,19620.175,16091.14,14332.232,15980.197,18467.636,14650.479,13881.804,15121.238,13405.119,14822.833,14543.719,16513.262,3908.829,18598.664,16213.51,12298.856,18424.175,18188.161
street_length_avg,111.344,87.735,97.029,60.13,92.726,112.553,81.93,115.983,80.015,98.788,112.282,111.835,122.793,98.229,88.332,105.823,91.805,109.078,80.962,116.971,91.996,118.824,137.817,111.211,127.328,124.623,108.979,80.745,88.107,105.542,112.953,99.864,100.224,93.766
street_length_total,140961.63,56588.86,41237.345,8658.701,16876.099,4276.996,30805.779,67965.92,29765.584,16991.511,28744.106,54128.117,50713.49,101961.873,48229.256,83706.234,18728.312,37086.446,25260.171,54625.34,64948.862,53470.664,88340.888,27024.373,53986.906,55207.939,18308.503,21155.256,7312.906,105647.589,28464.18,43440.726,89700.754,70980.552
street_segments_count,1266.0,645.0,425.0,144.0,182.0,38.0,376.0,586.0,372.0,172.0,256.0,484.0,413.0,1038.0,546.0,791.0,204.0,340.0,312.0,467.0,706.0,450.0,641.0,243.0,424.0,443.0,168.0,262.0,83.0,1001.0,252.0,435.0,895.0,757.0
streets_per_node_avg,3.019,2.969,3.264,2.955,3.069,3.034,3.305,3.33,3.167,3.088,3.482,3.478,3.176,3.112,3.384,3.458,3.126,3.391,2.848,3.188,3.118,3.645,3.829,3.639,3.625,3.223,3.336,3.032,2.672,3.006,2.647,2.938,3.114,3.531
